Name,Kinase,Direct binder,CC-401,OTS-167,id,Name_official
ACTR2,no,yes,inf,inf,10097,ACTR2
ACTR3,no,yes,inf,inf,10096,ACTR3
ACVR2B,yes,yes,inf,inf,93,ACVR2B
ADCK1,yes,yes,inf,inf,57143,ADCK1
ADCK3,yes,yes,inf,inf,56997,COQ8A
ADD2,no,no,,inf,119,ADD2
ADK,no,yes,inf,inf,132,ADK
ADRBK1,yes,yes,inf,inf,156,GRK2
ADSL,no,yes,inf,inf,158,ADSL
AFF1,no,no,inf,inf,4299,AFF1
AFF4,no,no,inf,inf,27125,AFF4
AIMP1,no,no,inf,inf,9255,AIMP1
AK2,no,yes,inf,inf,204,AK2
AKR1C3,no,no,,inf,8644,AKR1C3
AKT1,yes,yes,inf,inf,207,AKT1
AKT2,yes,yes,inf,inf,208,AKT2
AKT3,yes,yes,inf,inf,10000,AKT3
ALK,yes,yes,,inf,238,ALK
AP1B1,no,no,inf,inf,162,AP1B1
AP1G1,no,yes,inf,inf,164,AP1G1
AP2M1,no,no,inf,inf,1173,AP2M1
APRT,no,yes,inf,inf,353,APRT
ARAF,yes,yes,inf,inf,369,ARAF
BMPR1A,yes,yes,inf,inf,657,BMPR1A
BMPR2,yes,yes,inf,inf,659,BMPR2
BRAF,yes,yes,inf,inf,673,BRAF
BUB1,yes,yes,inf,inf,699,BUB1
C2CD5,no,no,inf,inf,9847,C2CD5
CAB39,no,no,inf,inf,51719,CAB39
CABLES1,no,no,inf,inf,91768,CABLES1
CALM1,no,no,inf,inf,801,CALM1
CAMK2D,yes,yes,inf,inf,817,CAMK2D
CAMK2G,yes,yes,inf,inf,818,CAMK2G
CAMK4,yes,yes,inf,inf,814,CAMK4
CAPNS1,no,no,inf,inf,826,CAPNS1
CAPZA1,no,no,inf,inf,829,CAPZA1
CARS,no,yes,inf,inf,833,CARS
CBR1,no,no,,inf,873,CBR1
CCAR2,no,no,inf,inf,57805,CCAR2
CCDC47,no,no,inf,inf,57003,CCDC47
CCNI,no,no,inf,inf,10983,CCNI
CCNK,no,no,inf,inf,8812,CCNK
CDC23,no,no,inf,inf,8697,CDC23
CDC42BPA,yes,yes,inf,inf,8476,CDC42BPA
CDC42BPB,yes,yes,inf,inf,9578,CDC42BPB
CDK12,yes,yes,inf,inf,51755,CDK12
CDK13,yes,yes,inf,inf,8621,CDK13
CDK17,yes,yes,inf,inf,5128,CDK17
CDK3,yes,yes,inf,inf,1018,CDK3
CDK4,yes,yes,inf,inf,1019,CDK4
CDK6,yes,yes,inf,inf,1021,CDK6
CERS2,no,no,inf,inf,29956,CERS2
CHD4,no,yes,inf,inf,1108,CHD4
CHEK1,yes,yes,inf,inf,1111,CHEK1
CLK2,yes,yes,inf,inf,1196,CLK2
CMPK1,no,yes,,inf,51727,CMPK1
COMT,no,no,inf,inf,1312,COMT
COX6C,no,no,inf,inf,1345,COX6C
CSK,yes,yes,inf,inf,1445,CSK
CTTN,no,no,inf,inf,2017,CTTN
CYC1,no,yes,inf,inf,1537,CYC1
DBI,no,no,inf,inf,1622,DBI
DCK,no,yes,inf,inf,1633,DCK
DCTPP1,no,yes,inf,inf,79077,DCTPP1
DDB1,no,no,inf,inf,1642,DDB1
DDX1,no,yes,inf,inf,1653,DDX1
DDX3X,no,yes,inf,inf,1654,DDX3X
DDX42,no,yes,,inf,11325,DDX42
DDX6,no,yes,inf,inf,1656,DDX6
DHCR24,no,yes,inf,inf,1718,DHCR24
DKC1,no,no,inf,inf,1736,DKC1
DNAJA1,no,yes,inf,inf,3301,DNAJA1
DNAJB11,no,no,,inf,51726,DNAJB11
DNAJC9,no,no,inf,inf,23234,DNAJC9
DYNLL1,no,no,inf,inf,8655,DYNLL1
DYNLL2,no,no,inf,inf,140735,DYNLL2
EGFR,yes,yes,inf,inf,1956,EGFR
EIF2AK1,yes,yes,inf,inf,27102,EIF2AK1
EIF2B1,no,no,,inf,1967,EIF2B1
EIF3M,no,no,inf,inf,10480,EIF3M
EIF4G1,no,no,inf,inf,1981,EIF4G1
EIF5B,no,yes,,inf,9669,EIF5B
EPHB3,yes,yes,inf,inf,2049,EPHB3
ERCC2,no,yes,inf,inf,2068,ERCC2
ERLIN2,no,no,inf,inf,11160,ERLIN2
ERN2,yes,yes,inf,inf,10595,ERN2
