CAMKK2	0.30894028762674797
STK16	0.3318505439156244
IKBKE	0.3336631226153395
CDK9	0.37782348541510846
GSK3B	0.3947397820550448
MAPK10	0.43518930535962813
AURKA	0.553541842212397
MAPK8	0.6052190337331831
MAPK9	0.656360357119188
LCK	0.8168097857474225
TBK1	0.836174412769946
MAP3K11	0.842788975885934
SIK3	0.8705537619647236
TAOK1	0.8789894246518277
MAP2K1	0.8846808933660283
CDK2	0.9043929825890195
PAK4	0.9264828683146664
AURKB	0.9565937343192297
RPS6KA3	0.9645077303238877
EPHB4	0.9743067324351703
IRAK4	0.9816569307821214
MAP4K5	1.0009008454597956
STK3	1.013382501917196
IRAK1	1.0343746153773326
ABL1	1.0610813932571506
MAPK15	1.101413517889096
EPHB2	1.1216804105166487
RPS6KA1	1.1266457116347766
RPS6KA5	1.1325014438143208
DDR2	1.1412642132868789
BTK	1.145413877659222
PIM1	1.1892149437149104
MAP3K5	1.1893867812881664
STK26	1.1901692813118356
CSNK2A1	1.231818353956998
TGFBR1	1.2620920632816715
MAP2K2	1.2638918606742848
PRKAA1	1.3064734953561252
EPHA2	1.3248875718356796
RPS6KB1	1.3264038135633338
EPHA4	1.3883690105374775
MARK2	1.3972988837658464
MAP2K6	1.4030140215672724
SIK2	1.4041406701191974
CSK	1.4381981197277107
MAPKAPK5	1.452586557851983
RIPK2	1.4660897721140282
MARK3	1.5136599036194767
AKT1	1.5279877488804523
IGF1R	1.5442280563892334
PKN2	1.5523385058178616
AKT2	1.5558315897105743
SYK	1.5686417730986624
EPHB3	1.5693797752383478
CSNK1D	1.5891983753538526
MAP4K3	1.593074898459616
MAPK11	1.6012038097762797
FGFR1	1.6206934095793528
MAPK7	1.6256033250333735
CHEK1	1.6348740331177867
PRKACA	1.6609152362648287
MELK	1.6666975942739746
MAPK14	1.7115973793586625
SRC	1.75167340446683
MYLK	1.828979483635193
DYRK1A	1.9027692832053624
PTK6	1.923057478011418
NTRK1	1.9567807201083096
CLK2	2.030077729282448
ULK1	2.097868362004488
ROCK2	2.107187828408585
PAK2	2.1892878445035646
MAPK3	2.1910687066263974
NEK2	2.339622998778675
MAPK1	2.350303911079973
MAP3K1	2.4679520558969164
YES1	2.496314249737273
STK11	2.6392693826155287
